Activity Name,Description,Type,Interest,State,Grade
"FTE Economics for Leaders","FTE Economics for Leaders is an immersive program designed for high school students to explore the principles of economics and leadership. Participants gain a deeper understanding of market forces, decision-making, and the impact of economic policy while developing essential leadership and critical thinking skills. The program encourages students to analyze real-world economic challenges and learn from experienced instructors and peers in a collaborative environment, preparing them for future academic and professional success in economics, business, and public policy.","Activity; Program; Summer","Economics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Sophomores; Juniors; Seniors"
"Stanford Math Tournament (SMT)","The Stanford Math Tournament (SMT) is a prestigious high school math competition organized by students at Stanford University. SMT offers a challenging and high-quality event for students passionate about mathematics. The tournament, supported by the Stanford Undergraduate Mathematics Organization and the Stanford Department of Mathematics, attracts over 1700 participants globally. In addition to the on-campus event, SMT also hosts an online tournament open to middle and high school students worldwide, aiming to improve the accessibility of math education and competitions.","Cost Money; Competition; Year Round","Mathematics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Regeneron Science Talent Search","The Regeneron Science Talent Search, organized by the Society for Science, is the nation's oldest and most prestigious science and mathematics competition for high school seniors. It recognizes and rewards the United States' most promising young scientists who are developing innovative solutions to society's most urgent challenges. Participants submit original research in important scientific fields of study. The competition offers significant financial awards, with a top prize of $250,000. The finalists compete for more than $1.8 million in awards. The program aims to identify, inspire, and engage the most promising scientists among the nation's high school seniors.","Free; Research; Competition; Year Round","Mathematics; Data Science; Environmental Science; Physics; Engineering; Computer Science; Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Seniors"
"Management & Technology Summer Institute (M&TSI)","The Management & Technology Summer Institute (M&TSI) is a for-credit summer program for rising high school seniors and a select number of rising juniors interested in the intersection of technology and management. Hosted by the Jerome Fisher Program in Management & Technology, in partnership with Penn Engineering and the Wharton School, M&TSI offers courses taught by leading faculty, an intensive team prototyping project, and various activities aimed at technological innovation. The program costs $9,000, covering academic fees, housing, meals, and extracurricular trips. Financial aid is available for those with demonstrated need. Participants will receive a full Penn college-course credit upon successful completion.","Cost Money; Summer; Activity","Business; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"Stanford Young Investigators","The Stanford Young Investigators program at the Stanford Doerr School of Sustainability offers high school students the opportunity to engage in research within the fields of Earth and environmental sciences, Earth and planetary sciences, energy, and social sciences. This summer internship allows students to work directly with graduate scholars, postdocs, and lab managers, providing a hands-on experience in scientific research. The program includes weekly talks, lab tours, and field trips, enriching the interns' understanding of their chosen field. Applicants must have completed at least one year of high school and reside within 25 driving miles of the Stanford campus in the San Francisco Bay Area. The program aims to prepare high school scholars for college and strengthen connections between Stanford and local high schools.","Free; Summer; Research; Internship","Environmental Science; Physics; Engineering; Biology; Chemistry","California","Freshmen; Juniors; Seniors; Sophomores"
"BlueStamp Engineering Summer Program","BlueStamp Engineering offers a hands-on summer program for high school students interested in technology and engineering. Students select and build a technology project they are passionate about, learning engineering fundamentals in the process. The program is available both remotely and in-person in Silicon Valley, catering to students of all experience levels with a 4:1 student-to-staff ratio. Participants create an online engineering portfolio to document their journey, which serves as a valuable asset for future employment and college applications. Projects range from sports rehab braces to smart mirrors, showcasing the diverse interests accommodated by the program.","Cost Money; Year Round; Summer; Activity","Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"International Photography Awards (IPA)","The International Photography Awards (IPA) is an annual global competition that celebrates the achievements of photographers across various categories, including professional, non-professional, and student photographers. Participants have the opportunity to compete for several prestigious awards, such as the International Photographer of the Year, with a grand prize of $10,000, and other category-specific awards. Winners are invited to the Lucie Awards gala, where the grand winners are announced. The IPA aims to discover new talent, promote photography appreciation, and is judged by a panel of esteemed professionals from the photography community. Winning entries are exhibited in New York and included in the IPA Annual publication.","Cost Money; Year Round; Competition","Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Bank of America Student Leaders Program","The Bank of America Student Leaders Program is designed to provide high school juniors and seniors with leadership training and work experience, focusing on community service and economic mobility. Participants engage in paid internships with local nonprofits and attend a national leadership summit in Washington, D.C. The program aims to prepare a diverse pipeline of community-minded young students for success in the workforce. It is part of Bank of America's commitment to youth employment and economic mobility, connecting over 300 students annually from more than 100 communities to employment, skills development, and service opportunities.","Free; Summer; Activity; Internship; Volunteering","Business; Public Administration; Political Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"Scholastic Art and Writing Awards","The Scholastic Art and Writing Awards, organized by the Alliance for Young Artists & Writers, has been supporting the future of creativity since 1923. This program offers students the opportunity to gain recognition, scholarships, and more through their creative works in art and writing. It includes exhibitions, workshops for teens, and professional development for educators, aiming to empower creative teens and elevate youth voices. The program is open to students of all grade levels and focuses on fostering artistic and literary talents. Participating in the Scholastic Awards can open doors for young artists and writers by providing them with opportunities for national recognition and scholarships.","Free; Year Round; Activity; Competition","English Literature Writing; Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Eugene and Ruth Roberts Summer Student Academy","The Eugene and Ruth Roberts Summer Student Academy at City of Hope offers undergraduate and advanced high school students a unique opportunity to engage in inquiry-based biomedical research. Participants select their own research project and work full-time for 10 weeks as part of a biomedical research team, mentored by world-renowned physicians and scientists. The program includes weekly seminars, workshops on various topics including biomedical ethics, and the chance to develop critical thinking skills. Students receive a $4,000 stipend and have the opportunity to see their names on published research papers or even patent inventions developed during the program. This immersive experience is designed to foster valuable relationships and provide a comprehensive insight into the world of scientific research.","Summer; Research; Free","Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"High School Internship Program at LANL","The High School Internship Program at Los Alamos National Laboratory (LANL) offers northern New Mexico high school seniors the chance to gain work experience and exposure to various career fields. The program includes internships in both STEM and other career fields such as administrative, business, and operations support. Eligible students must have senior status, be at least 16 years old, have a minimum GPA of 3.0, and attend a high school in northern New Mexico. The program provides a unique opportunity for students to develop skills and explore potential career paths in a prestigious research environment.","Free; Year Round; Summer; Research; Internship","Mathematics; Data Science; Environmental Science; Physics; Engineering; Computer Science; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Seniors"
"SUNY Oneonta Biological Field Station Internships","The SUNY Oneonta Biological Field Station offers summer research internships for both college and high school students interested in environmental or natural sciences. The program runs from late May through August, with high school internships lasting 9 weeks and undergraduate internships lasting 10 weeks. Interns engage in a variety of research projects, including field work, laboratory analyses, data analysis, and writing. They are expected to present their research in seminars and produce a technical report and a large-format poster. High school interns receive a $3,000 stipend, while undergraduate interns receive $5,000 plus complementary housing. The program seeks self-motivated individuals with a strong academic background in relevant sciences.","Summer; Research; Internship; Free","Environmental Science; Biology; Chemistry","New York","Juniors; Seniors; Sophomores"
"picoCTF Competition","picoCTF 2024 is the largest cybersecurity hacking competition for middle, high school, and college students globally. This competition encourages participants of all skill levels, aged 13 and older, to engage in reverse-engineering, hacking, decryption, and critical thinking to solve challenges and capture digital flags. Prizes include cash awards and opportunities for further training. This event is an excellent opportunity for students interested in computer science and cybersecurity to develop their skills in a competitive environment.","Free; Activity; Competition; Year Round","Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"American Mathematics Competitions (AMC)","The American Mathematics Competitions (AMC), organized by the Mathematical Association of America, is a series of math competitions designed to foster problem-solving skills and mathematical knowledge among middle and high school students. The AMC program includes a variety of competitions such as the AMC 8, AMC 10/12, American Invitational Mathematics Examination (AIME), and the United States Mathematical Olympiad and Junior Mathematical Olympiad (USA(J)MO). Participating in the AMC competitions can significantly impact students' analytical skills, preparing them for future careers in an innovative society. The program is known for its rigorous content and is a prestigious opportunity for students to demonstrate their mathematical abilities.","Cost Money; Year Round; Competition","Mathematics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Conrad Challenge","The Conrad Challenge is a year-long competition that encourages students aged 13 to 18 to design innovations that solve important problems, fostering entrepreneurship. Participants go through stages including Activation, Lean Canvas, Innovation, and Power Pitch, culminating in the Conrad Challenge Innovation Summit. Teams of 2-5 students, guided by a coach, compete in various categories to earn scholarships, entrepreneurial support, and the title of Pete Conrad Scholar. The competition emphasizes business, engineering, and computer science skills, and offers a platform for young innovators to showcase their ideas on a global stage.","Cost Money; Year Round; Research; Competition","Business; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Berkeley Business Academy for Youth - High School Entrepreneurship","The Berkeley Business Academy for Youth (B-BAY) offers a High School Entrepreneurship program where students have the opportunity to develop a business idea and create a business plan over two weeks. The program features lectures from Berkeley Haas professors and corporate guest speakers, independent research, computer lab assignments, and team projects. Participants will learn about various business subjects, enhance their communication and presentation skills, and receive a UC Berkeley Business Academy for Youth Certificate of Completion. The program also includes activities like a campus tour, scavenger hunt, karaoke night, and sessions on the college admission process and writing college application essays.","Cost Money; Summer; Activity; Competition","Business","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Congressional Essay Contest","The Congressional Essay Contest, organized by The National Society of The Colonial Dames of America, invites high school students to participate in a writing competition. The contest requires students to submit essays on annually changing topics related to government and politics. Winners receive a scholarship to attend the Congressional Seminar in Washington, D.C., which includes a Mock Congress, university campus housing, meals, and tours of government offices and museums. The contest is open to students who are 16 or older.","Summer; Activity; Competition; Free","English Literature Writing; Political Science; Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
